                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.15364,                  0.908,                      1,                0.22544,             0.00023422,             0.00023422,             0.00023422
                      2,                0.03233,                  0.992,                      1,                0.16393,             0.00046755,             0.00046755,             0.00046755
                      3,                0.00602,                      1,                      1,                0.15644,             0.00069616,             0.00069616,             0.00069616
                      4,                0.00573,                  0.996,                      1,                0.15764,             0.00069279,             0.00069279,             0.00069279
                      5,                0.00224,                  0.988,                      1,                0.16007,             0.00069279,             0.00069279,             0.00069279
                      6,                0.00382,                      1,                      1,                0.15648,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00079,                      1,                      1,                 0.1546,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00081,                      1,                      1,                0.15491,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00024,                      1,                      1,                0.15448,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00265,                   0.98,                      1,                0.16184,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00527,                  0.996,                      1,                0.15601,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00231,                  0.996,                      1,                0.15636,             0.00064331,             0.00064331,             0.00064331
                     13,                  0.001,                      1,                      1,                0.15476,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00047,                      1,                      1,                0.15463,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00053,                  0.996,                      1,                0.15667,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00228,                  0.988,                      1,                0.15772,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00078,                      1,                      1,                0.15366,             0.00060797,             0.00060797,             0.00060797
                     18,                 0.0001,                      1,                      1,                0.15357,              0.0006009,              0.0006009,              0.0006009
                     19,                  9e-05,                      1,                      1,                0.15356,             0.00059383,             0.00059383,             0.00059383
                     20,                 0.0001,                      1,                      1,                 0.1538,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00051,                      1,                      1,                0.15355,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00014,                      1,                      1,                0.15385,             0.00057263,             0.00057263,             0.00057263
                     23,                  3e-05,                      1,                      1,                0.15352,             0.00056556,             0.00056556,             0.00056556
                     24,                  4e-05,                      1,                      1,                0.15343,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00448,                  0.996,                      1,                0.15478,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00055,                  0.996,                      1,                0.15447,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00082,                      1,                      1,                0.15473,             0.00053728,             0.00053728,             0.00053728
                     28,                 0.0001,                  0.996,                      1,                 0.1553,             0.00053022,             0.00053022,             0.00053022
                     29,                 0.0061,                  0.996,                      1,                0.15593,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00244,                  0.992,                      1,                0.15652,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00038,                      1,                      1,                0.15528,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00049,                  0.992,                      1,                0.15609,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00028,                  0.996,                      1,                 0.1552,             0.00049487,             0.00049487,             0.00049487
                     34,                  4e-05,                  0.996,                      1,                0.15478,              0.0004878,              0.0004878,              0.0004878
                     35,                  7e-05,                      1,                      1,                0.15438,             0.00048074,             0.00048074,             0.00048074
                     36,                  3e-05,                  0.996,                      1,                 0.1546,             0.00047367,             0.00047367,             0.00047367
                     37,                  2e-05,                  0.996,                      1,                0.15483,              0.0004666,              0.0004666,              0.0004666
                     38,                  2e-05,                  0.996,                      1,                0.15454,             0.00045953,             0.00045953,             0.00045953
                     39,                  2e-05,                      1,                      1,                0.15451,             0.00045246,             0.00045246,             0.00045246
                     40,                  2e-05,                  0.996,                      1,                0.15452,             0.00044539,             0.00044539,             0.00044539
                     41,                  2e-05,                  0.996,                      1,                0.15473,             0.00043832,             0.00043832,             0.00043832
                     42,                  1e-05,                  0.996,                      1,                0.15464,             0.00043126,             0.00043126,             0.00043126
                     43,                  5e-05,                  0.996,                      1,                0.15455,             0.00042419,             0.00042419,             0.00042419
                     44,                  8e-05,                      1,                      1,                0.15439,             0.00041712,             0.00041712,             0.00041712
                     45,                  3e-05,                  0.996,                      1,                0.15448,             0.00041005,             0.00041005,             0.00041005
                     46,                  1e-05,                      1,                      1,                0.15458,             0.00040298,             0.00040298,             0.00040298
                     47,                  1e-05,                  0.996,                      1,                0.15465,             0.00039591,             0.00039591,             0.00039591
                     48,                  1e-05,                  0.996,                      1,                0.15468,             0.00038884,             0.00038884,             0.00038884
                     49,                  1e-05,                      1,                      1,                0.15465,             0.00038178,             0.00038178,             0.00038178
                     50,                  2e-05,                  0.996,                      1,                0.15459,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00217,                      1,                      1,                 0.1542,             0.00036764,             0.00036764,             0.00036764
                     52,                  6e-05,                  0.996,                      1,                0.15447,             0.00036057,             0.00036057,             0.00036057
                     53,                  9e-05,                  0.996,                      1,                0.15439,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00025,                      1,                      1,                0.15394,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00361,                      1,                      1,                0.15457,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00014,                      1,                      1,                0.15356,              0.0003323,              0.0003323,              0.0003323
                     57,                  9e-05,                      1,                      1,                0.15354,             0.00032523,             0.00032523,             0.00032523
                     58,                  4e-05,                      1,                      1,                0.15332,             0.00031816,             0.00031816,             0.00031816
                     59,                  6e-05,                      1,                      1,                0.15348,             0.00031109,             0.00031109,             0.00031109
                     60,                  1e-05,                      1,                      1,                0.15322,             0.00030402,             0.00030402,             0.00030402
                     61,                  2e-05,                      1,                      1,                0.15324,             0.00029695,             0.00029695,             0.00029695
                     62,                  2e-05,                      1,                      1,                0.15328,             0.00028988,             0.00028988,             0.00028988
                     63,                  3e-05,                      1,                      1,                0.15324,             0.00028282,             0.00028282,             0.00028282
                     64,                  2e-05,                      1,                      1,                0.15316,             0.00027575,             0.00027575,             0.00027575
                     65,                  2e-05,                      1,                      1,                0.15325,             0.00026868,             0.00026868,             0.00026868
                     66,                  2e-05,                      1,                      1,                0.15324,             0.00026161,             0.00026161,             0.00026161
                     67,                  1e-05,                      1,                      1,                0.15322,             0.00025454,             0.00025454,             0.00025454
                     68,                  1e-05,                      1,                      1,                 0.1532,             0.00024747,             0.00024747,             0.00024747
                     69,                  3e-05,                      1,                      1,                0.15325,              0.0002404,              0.0002404,              0.0002404
                     70,                  1e-05,                      1,                      1,                0.15328,             0.00023334,             0.00023334,             0.00023334
                     71,                  1e-05,                      1,                      1,                0.15342,             0.00022627,             0.00022627,             0.00022627
                     72,                  1e-05,                      1,                      1,                0.15318,              0.0002192,              0.0002192,              0.0002192
                     73,                  2e-05,                      1,                      1,                0.15322,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00013,                      1,                      1,                0.15325,             0.00020506,             0.00020506,             0.00020506
                     75,                  2e-05,                  0.996,                      1,                0.15387,             0.00019799,             0.00019799,             0.00019799
                     76,                  4e-05,                      1,                      1,                0.15321,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00069,                  0.992,                      1,                0.15668,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00026,                  0.992,                      1,                0.15681,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00013,                      1,                      1,                0.15388,             0.00016972,             0.00016972,             0.00016972
                     80,                  2e-05,                      1,                      1,                0.15361,             0.00016265,             0.00016265,             0.00016265
                     81,                  4e-05,                      1,                      1,                 0.1535,             0.00015558,             0.00015558,             0.00015558
                     82,                  2e-05,                      1,                      1,                0.15348,             0.00014851,             0.00014851,             0.00014851
                     83,                  2e-05,                      1,                      1,                0.15353,             0.00014144,             0.00014144,             0.00014144
                     84,                  2e-05,                      1,                      1,                0.15345,             0.00013437,             0.00013437,             0.00013437
                     85,                  1e-05,                      1,                      1,                0.15355,             0.00012731,             0.00012731,             0.00012731
                     86,                  1e-05,                      1,                      1,                0.15343,             0.00012024,             0.00012024,             0.00012024
                     87,                  1e-05,                      1,                      1,                0.15345,             0.00011317,             0.00011317,             0.00011317
                     88,                  3e-05,                      1,                      1,                0.15351,              0.0001061,              0.0001061,              0.0001061
                     89,                  1e-05,                      1,                      1,                0.15353,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  1e-05,                      1,                      1,                0.15372,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                  2e-05,                      1,                      1,                0.15362,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                  2e-05,                      1,                      1,                0.15354,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                  1e-05,                      1,                      1,                0.15351,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                  2e-05,                      1,                      1,                 0.1536,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                  1e-05,                      1,                      1,                0.15348,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                  1e-05,                      1,                      1,                0.15349,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                  2e-05,                      1,                      1,                0.15343,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                  1e-05,                      1,                      1,                0.15349,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                  3e-05,                      1,                      1,                0.15354,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                  1e-05,                      1,                      1,                0.15355,             2.1277e-05,             2.1277e-05,             2.1277e-05
